id;start_date;end_date;language
1;2020-02-17T20:51:00;2020-02-17T18:41:15;SPANISH
2;2020-02-17T01:41:11;2020-02-17T20:45:36;SPANISH
3;2020-02-17T16:36:30;2020-02-17T03:10:39;FRENCH
4;2020-02-17T07:54:01;2020-02-17T19:25:27;FRENCH
5;2020-02-17T17:24:19;2020-02-17T22:11:18;FRENCH
6;2020-02-17T11:16:40;2020-02-17T23:24:54;FRENCH
7;2020-02-17T13:02:00;2020-02-17T06:52:51;FRENCH
8;2020-02-17T11:58:13;2020-02-17T22:14:21;SPANISH
9;2020-02-17T10:39:22;2020-02-17T07:20:45;SPANISH
10;2020-02-17T18:51:26;2020-02-17T05:25:56;SPANISH
